away_team,away_score,home_team,home_score,id
CLE,12,DAL,19,240919006
BUF,10,OAK,13,240919013
NE,23,ARI,12,240919022
NYJ,34,SD,28,240919024
MIA,13,CIN,16,240919004
MIN,16,PHI,27,240920021
ARI,3,ATL,6,240926001
BAL,23,CIN,9,240926004
PHI,30,DET,13,240926008
JAX,15,TEN,12,240926010
HOU,24,KC,21,240926012
NO,28,STL,25,240926014
CHI,22,MIN,27,240926016
CLE,10,NYG,27,240926019
SD,13,DEN,23,240926007
GB,31,IND,45,240926011
SF,0,SEA,34,240926026
TB,20,OAK,30,240926013
PIT,13,MIA,3,240926015
DAL,21,WSH,18,240927028
NE,31,BUF,17,241003002
PHI,19,CHI,9,241003003
WSH,13,CLE,17,241003005
NYG,14,GB,7,241003009
CIN,17,PIT,28,241003023
IND,24,JAX,17,241003030
OAK,17,HOU,30,241003034
NO,10,ARI,34,241003022
ATL,27,CAR,10,241003029
NYJ,17,MIA,9,241003015
TEN,17,SD,38,241003024
DEN,16,TB,13,241003027
STL,24,SF,14,241003025
KC,27,BAL,24,241004033
DET,17,ATL,10,241010001
NYG,26,DAL,10,241010006
OAK,14,IND,35,241010011
MIA,10,NE,24,241010017
TB,20,NO,17,241010018
CLE,23,PIT,34,241010023
MIN,34,HOU,28,241010034
BUF,14,NYJ,16,241010020
JAX,21,SD,34,241010024
CAR,17,DEN,20,241010007
ARI,28,SF,31,241010025
STL,33,SEA,27,241010026
BAL,17,WSH,10,241010028
TEN,48,GB,27,241011009
SD,20,ATL,21,241017001
MIA,13,BUF,20,241017002
WSH,13,CHI,10,241017003
CIN,17,CLE,34,241017005
GB,38,DET,10,241017008
HOU,20,TEN,10,241017010
SEA,20,NE,30,241017017
SF,14,NYJ,22,241017020
CAR,8,PHI,30,241017021
KC,16,JAX,22,241017030
PIT,24,DAL,20,241017006
DEN,31,OAK,3,241017013
MIN,38,NO,31,241017018
TB,21,STL,28,241018014
PHI,34,CLE,31,241024005
JAX,27,IND,24,241024011
ATL,10,KC,56,241024012
STL,14,MIA,31,241024015
TEN,3,MIN,20,241024016
DET,28,NYG,13,241024019
CHI,7,TB,19,241024027
SD,17,CAR,6,241024029
BUF,6,BAL,20,241024033
NYJ,7,NE,13,241024017
DAL,20,GB,41,241024009
NO,31,OAK,26,241024013
SEA,17,ARI,25,241024022
DEN,10,CIN,23,241025004
ARI,14,BUF,38,241031002
DET,21,DAL,31,241031006
CIN,20,TEN,27,241031010
IND,35,KC,45,241031012
NYG,34,MIN,13,241031016
BAL,10,PHI,15,241031021
GB,28,WSH,14,241031028
JAX,6,HOU,20,241031034
ATL,41,DEN,28,241031007
CAR,17,SEA,23,241031026
NE,20,PIT,34,241031023
OAK,14,SD,42,241031024
SF,13,CHI,23,241031003
MIA,14,NYJ,41,241101020
NYJ,17,BUF,22,241107002
DAL,3,CIN,26,241107004
WSH,17,DET,10,241107008
ARI,24,MIA,23,241107015
PHI,3,PIT,27,241107023
KC,31,TB,34,241107027
OAK,27,CAR,24,241107029
CHI,28,NYG,21,241107019
NO,17,SD,43,241107024
SEA,42,SF,27,241107025
HOU,13,DEN,31,241107007
NE,40,STL,22,241107014
CLE,13,BAL,27,241107033
MIN,28,IND,31,241108011
TB,14,ATL,24,241114001
PIT,24,CLE,10,241114005
CHI,19,TEN,17,241114010
HOU,14,IND,49,241114011
SEA,12,STL,23,241114014
KC,20,NO,27,241114018
BAL,20,NYJ,17,241114020
DET,17,JAX,23,241114030
CIN,17,WSH,10,241114028
MIN,31,GB,34,241114009
NYG,14,ARI,17,241114022
CAR,37,SF,27,241114025
BUF,6,NE,29,241114017
PHI,49,DAL,21,241115006
STL,17,BUF,37,241121002
IND,41,CHI,10,241121003
PIT,19,CIN,14,241121004
NYJ,10,CLE,7,241121005
DET,19,MIN,22,241121016
DEN,34,NO,13,241121018
SF,3,TB,35,241121027
ARI,10,CAR,35,241121029
TEN,18,JAX,15,241121030
DAL,10,BAL,30,241121033
SD,23,OAK,17,241121013
MIA,17,SEA,24,241121026
ATL,14,NYG,10,241121019
WSH,6,PHI,28,241121021
GB,16,HOU,13,241121034
NE,27,KC,19,241122012
IND,41,DET,9,241125008
CHI,7,DAL,21,241125006
CLE,48,CIN,58,241128004
SD,34,KC,31,241128012
JAX,16,MIN,27,241128016
PHI,27,NYG,6,241128019
WSH,7,PIT,16,241128023
TB,14,CAR,21,241128029
TEN,21,HOU,31,241128034
NO,21,ATL,24,241128001
BAL,3,NE,24,241128017
NYJ,13,ARI,3,241128022
MIA,24,SF,17,241128025
BUF,38,SEA,9,241128026
OAK,25,DEN,24,241128007
STL,17,GB,45,241129009
MIN,14,CHI,24,241205003
NE,42,CLE,15,241205005
ARI,12,DET,26,241205008
TEN,24,IND,51,241205011
SF,6,STL,16,241205014
BUF,42,MIA,32,241205015
CAR,32,NO,21,241205018
HOU,7,NYJ,29,241205020
ATL,0,TB,27,241205027
CIN,27,BAL,26,241205033
KC,34,OAK,27,241205013
DEN,17,SD,20,241205024
GB,17,PHI,47,241205021
NYG,7,WSH,31,241205028
PIT,17,JAX,16,241205030
DAL,43,SEA,39,241206026
OAK,10,ATL,35,241212001
CLE,7,BUF,37,241212002
NO,27,DAL,13,241212006
SEA,27,MIN,23,241212016
CIN,28,NE,35,241212017
CHI,3,JAX,22,241212030
NYG,14,BAL,37,241212033
IND,23,HOU,14,241212034
MIA,17,DEN,20,241212007
NYJ,6,PIT,17,241212023
DET,13,GB,16,241212009
SF,31,ARI,28,241212022
TB,24,SD,31,241212024
STL,7,CAR,20,241212029
PHI,17,WSH,14,241212028
KC,49,TEN,38,241213010
PIT,33,NYG,30,241218019
WSH,26,SF,16,241218025
CAR,31,ATL,34,241218001
HOU,24,CHI,5,241219003
BUF,33,CIN,17,241219004
SD,21,CLE,0,241219005
MIN,28,DET,27,241219008
DEN,17,KC,45,241219012
SEA,14,NYJ,37,241219020
DAL,7,PHI,12,241219021
STL,7,ARI,31,241219022
NO,21,TB,17,241219027
JAX,28,GB,25,241219009
TEN,35,OAK,40,241219013
BAL,10,IND,20,241219011
NE,28,MIA,29,241220015
GB,34,MIN,31,241224016
OAK,30,KC,31,241225012
DEN,37,TEN,16,241225010
NYG,22,CIN,23,241226004
CHI,13,DET,19,241226008
SD,31,IND,34,241226011
ATL,13,NO,26,241226018
BAL,7,PIT,20,241226023
HOU,21,JAX,0,241226030
NE,23,NYJ,7,241226020
BUF,41,SF,7,241226025
WSH,10,DAL,13,241226006
ARI,21,SEA,24,241226026
CAR,37,TB,20,241226027
CLE,7,MIA,10,241226015
PHI,7,STL,20,241227014
PIT,29,BUF,24,250102002
GB,31,CHI,14,250102003
DET,19,TEN,24,250102010
NYJ,29,STL,32,250102014
SF,7,NE,21,250102017
CIN,38,PHI,10,250102021
MIN,18,WSH,21,250102028
NO,21,CAR,18,250102029
MIA,23,BAL,30,250102033
CLE,22,HOU,14,250102034
TB,7,ARI,12,250102022
ATL,26,SEA,28,250102026
IND,14,DEN,33,250102007
JAX,13,OAK,6,250102013
KC,17,SD,24,250102024
DAL,24,NYG,28,250102019
OAK,20,NE,30,250908017
HOU,7,BUF,22,250911002
CIN,27,CLE,13,250911005
NYJ,7,KC,27,250911012
DEN,10,MIA,34,250911015
TB,24,MIN,13,250911016
TEN,7,PIT,34,250911023
CHI,7,WSH,9,250911028
NO,23,CAR,20,250911029
SEA,14,JAX,26,250911030
GB,3,DET,17,250911008
ARI,19,NYG,42,250911019
DAL,28,SD,24,250911024
STL,25,SF,28,250911025
IND,24,BAL,7,250911033
PHI,10,ATL,14,250912001
DET,6,CHI,38,250918003
MIN,8,CIN,37,250918004
BAL,10,TEN,25,250918010
JAX,3,IND,10,250918011
SF,3,PHI,42,250918021
BUF,3,TB,19,250918027
NE,17,CAR,27,250918029
PIT,27,HOU,7,250918034
STL,17,ARI,12,250918022
ATL,18,SEA,21,250918026
SD,17,DEN,20,250918007
CLE,26,GB,24,250918009
MIA,7,NYJ,17,250918020
KC,23,OAK,17,250918013
NYG,27,NO,10,250919018
WSH,14,DAL,13,250919006
ATL,24,BUF,16,250925002
CIN,24,CHI,7,250925003
TB,17,GB,16,250925009
CLE,6,IND,13,250925011
TEN,27,STL,31,250925014
CAR,24,MIA,27,250925015
NO,16,MIN,33,250925016
JAX,26,NYJ,20,250925020
OAK,20,PHI,23,250925021
DAL,34,SF,31,250925025
ARI,12,SEA,37,250925026
NE,23,PIT,20,250925023
NYG,23,SD,45,250925024
KC,10,DEN,30,250926007
HOU,10,CIN,16,251002004
IND,31,TEN,10,251002010
SD,41,NE,17,251002017
BUF,7,NO,19,251002018
STL,24,NYG,44,251002019
DET,13,TB,17,251002027
SEA,17,WSH,20,251002028
DEN,20,JAX,7,251002030
NYJ,3,BAL,13,251002033
MIN,10,ATL,30,251002001
PHI,37,KC,31,251002012
DAL,13,OAK,19,251002013
SF,14,ARI,31,251002022
GB,29,CAR,32,251003029
NE,31,ATL,28,251009001
MIA,14,BUF,20,251009002
CHI,10,CLE,20,251009005
BAL,17,DET,35,251009008
NO,3,GB,52,251009009
SEA,37,STL,31,251009014
TB,12,NYJ,14,251009020
TEN,34,HOU,20,251009034
IND,28,SF,3,251009025
PHI,10,DAL,33,251009006
WSH,19,DEN,21,251009007
CAR,24,ARI,20,251009022
CIN,20,JAX,23,251009030
PIT,24,SD,22,251010024
MIN,3,CHI,28,251016003
NYG,13,DAL,16,251016006
CAR,21,DET,20,251016008
CIN,31,TEN,23,251016010
WSH,21,KC,28,251016012
ATL,34,NO,31,251016018
JAX,23,PIT,17,251016023
MIA,13,TB,27,251016027
CLE,3,BAL,16,251016033
NYJ,17,BUF,27,251016002
NE,20,DEN,28,251016007
SD,27,OAK,14,251016013
HOU,10,SEA,42,251016026
STL,28,IND,45,251017011
KC,30,MIA,20,251021015
PIT,27,CIN,13,251023004
DET,13,CLE,10,251023005
NO,17,STL,28,251023014
GB,20,MIN,23,251023016
SD,17,PHI,20,251023021
SF,17,WSH,52,251023028
IND,38,HOU,20,251023034
DAL,10,SEA,13,251023026
BAL,6,CHI,10,251023003
BUF,17,OAK,38,251023013
DEN,23,NYG,24,251023019
TEN,10,ARI,20,251023022
NYJ,14,ATL,27,251024001
GB,14,CIN,21,251030004
ARI,13,DAL,34,251030006
CHI,19,DET,13,251030008
OAK,34,TEN,25,251030010
JAX,21,STL,24,251030014
WSH,0,NYG,36,251030019
MIN,13,CAR,38,251030029
CLE,16,HOU,19,251030034
MIA,21,NO,6,251030018
KC,20,SD,28,251030024
PHI,21,DEN,49,251030007
TB,10,SF,15,251030025
BUF,16,NE,21,251030017
BAL,19,PIT,20,251031023
TEN,14,CLE,20,251106005
OAK,23,KC,27,251106012
ATL,17,MIA,10,251106015
DET,14,MIN,27,251106016
SD,31,NYJ,26,251106020
CAR,34,TB,14,251106027
HOU,14,JAX,21,251106030
CIN,21,BAL,9,251106033
CHI,20,NO,17,251106018
SEA,33,ARI,19,251106022
NYG,24,SF,6,251106025
PIT,20,GB,10,251106009
PHI,10,WSH,17,251106028
IND,40,NE,21,251107017
KC,3,BUF,14,251113002
SF,9,CHI,17,251113003
